experiment,depth,variant,position,nodes,time_s,matchup,agent,opponent,seed,a_player,winner,a_won,plies,avg_move_time,a_nodes_per_move
E2,,,,,,Minimax vs Random,Minimax,Random,1060.0,1.0,1.0,1.0,5.0,0.019954633404267952,153.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1061.0,2.0,2.0,1.0,6.0,0.011428020491924448,106.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1062.0,1.0,1.0,1.0,5.0,0.02119878340163268,118.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1063.0,2.0,2.0,1.0,6.0,0.004131041491442981,60.333333333333336
E2,,,,,,Minimax vs Random,Minimax,Random,1064.0,1.0,1.0,1.0,5.0,0.028505732998019083,131.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1065.0,2.0,2.0,1.0,6.0,0.010993499837544126,163.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1066.0,1.0,1.0,1.0,7.0,0.0117749881464988,105.75
E2,,,,,,Minimax vs Random,Minimax,Random,1067.0,2.0,2.0,1.0,6.0,0.009668374996787557,110.0
E2,,,,,,Minimax vs Random,Minimax,Random,1068.0,1.0,1.0,1.0,5.0,0.020514041808201,170.0
E2,,,,,,Minimax vs Random,Minimax,Random,1069.0,2.0,2.0,1.0,4.0,0.004349624752649106,64.5
E2,,,,,,Minimax vs Random,Minimax,Random,1070.0,1.0,1.0,1.0,5.0,0.01619615000090562,170.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1071.0,2.0,2.0,1.0,6.0,0.006153868006852766,88.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1072.0,1.0,1.0,1.0,7.0,0.008897357146322196,84.25
E2,,,,,,Minimax vs Random,Minimax,Random,1073.0,2.0,2.0,1.0,6.0,0.005579187170951627,65.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1074.0,1.0,1.0,1.0,5.0,0.01851680819527246,121.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1075.0,2.0,2.0,1.0,6.0,0.010166909836698323,81.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1076.0,1.0,1.0,1.0,5.0,0.012159700004849583,122.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1077.0,2.0,2.0,1.0,6.0,0.004331381671363488,77.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1078.0,1.0,1.0,1.0,7.0,0.006346220437470558,75.75
E2,,,,,,Minimax vs Random,Minimax,Random,1079.0,2.0,2.0,1.0,4.0,0.0015209684934234247,57.5
E2,,,,,,Minimax vs Random,Minimax,Random,1080.0,1.0,1.0,1.0,5.0,0.028901474800659344,145.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1081.0,2.0,2.0,1.0,6.0,0.0031173611738874265,71.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1082.0,1.0,1.0,1.0,5.0,0.0070786082011181865,100.66666666666667
E2,,,,,,Minimax vs Random,Minimax,Random,1083.0,2.0,2.0,1.0,4.0,0.007118864501535427,104.0
E2,,,,,,Minimax vs Random,Minimax,Random,1084.0,1.0,1.0,1.0,5.0,0.023156266589649022,193.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1085.0,2.0,2.0,1.0,6.0,0.01103643033032616,112.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1086.0,1.0,1.0,1.0,5.0,0.021586350194411352,198.33333333333334
E2,,,,,,Minimax vs Random,Minimax,Random,1087.0,2.0,2.0,1.0,6.0,0.010591986157426922,164.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1088.0,1.0,1.0,1.0,5.0,0.011959141597617417,124.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1089.0,2.0,2.0,1.0,6.0,0.005289228996844031,81.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1090.0,1.0,1.0,1.0,7.0,0.007785089426241549,104.75
E2,,,,,,Minimax vs Random,Minimax,Random,1091.0,2.0,2.0,1.0,6.0,0.003506194334477186,72.33333333333333
E2,,,,,,Minimax vs Random,Minimax,Random,1092.0,1.0,1.0,1.0,5.0,0.014936716598458587,144.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1093.0,2.0,2.0,1.0,6.0,0.0025182918373805783,43.0
E2,,,,,,Minimax vs Random,Minimax,Random,1094.0,1.0,1.0,1.0,7.0,0.016792018136974157,145.25
E2,,,,,,Minimax vs Random,Minimax,Random,1095.0,2.0,2.0,1.0,6.0,0.002948402655116903,48.333333333333336
E2,,,,,,Minimax vs Random,Minimax,Random,1096.0,1.0,1.0,1.0,5.0,0.01089408359839581,122.0
E2,,,,,,Minimax vs Random,Minimax,Random,1097.0,2.0,2.0,1.0,6.0,0.0035111804948731637,68.0
E2,,,,,,Minimax vs Random,Minimax,Random,1098.0,1.0,2.0,0.0,6.0,0.024533499832614325,158.66666666666666
E2,,,,,,Minimax vs Random,Minimax,Random,1099.0,2.0,2.0,1.0,6.0,0.0036048054947362593,66.33333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1000.0,1.0,1.0,1.0,7.0,0.015446077429390113,1100.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1001.0,2.0,2.0,1.0,6.0,0.0024117431651878483,202.33333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1002.0,1.0,2.0,0.0,6.0,0.017407742828557577,1553.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1003.0,2.0,2.0,1.0,6.0,0.012520604165426144,1002.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1004.0,1.0,1.0,1.0,5.0,0.020455657999264076,1459.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1005.0,2.0,2.0,1.0,6.0,0.011270222157084694,918.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1006.0,1.0,1.0,1.0,5.0,0.015818625007523224,1189.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1007.0,2.0,2.0,1.0,6.0,0.0020398543323002136,172.66666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1008.0,1.0,1.0,1.0,7.0,0.011268005856046719,800.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1009.0,2.0,2.0,1.0,6.0,0.007195541843733129,595.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1010.0,1.0,1.0,1.0,7.0,0.014286636994386624,1026.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1011.0,2.0,2.0,1.0,6.0,0.006262513828308632,479.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1012.0,1.0,1.0,1.0,5.0,0.027453333395533262,1801.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1013.0,2.0,2.0,1.0,6.0,0.004464236170557949,374.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1014.0,1.0,1.0,1.0,7.0,0.006182047575878512,484.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1015.0,2.0,2.0,1.0,6.0,0.007928229165069448,653.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1016.0,1.0,1.0,1.0,5.0,0.030739241605624558,2199.3333333333335
E2,,,,,,Expectimax vs Random,Expectimax,Random,1017.0,2.0,2.0,1.0,4.0,0.006863833506940864,550.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1018.0,1.0,1.0,1.0,7.0,0.006843553710496053,468.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1019.0,2.0,2.0,1.0,6.0,0.004326110996771604,374.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1020.0,1.0,1.0,1.0,5.0,0.03333007480832748,2284.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1021.0,2.0,2.0,1.0,6.0,0.004869326662931901,405.6666666666667
